locus_tag	ftype	length_bp	gene	EC_number	COG	product
BHOONDMH_00001	CDS	1446	gadC		COG0531	Glutamate/gamma-aminobutyrate antiporter
BHOONDMH_00002	CDS	870				hypothetical protein
BHOONDMH_00003	CDS	1008		5.1.1.4	COG3938	Proline racemase
BHOONDMH_00004	CDS	471	prdA_1	1.21.4.1		D-proline reductase proprotein PrdA
BHOONDMH_00005	CDS	777	prdA_2	1.21.4.1		D-proline reductase proprotein PrdA
BHOONDMH_00006	CDS	120				hypothetical protein
BHOONDMH_00007	CDS	246	prdB_1	1.21.4.1		D-proline reductase subunit gamma
BHOONDMH_00008	CDS	453	prdB_2	1.21.4.1		D-proline reductase subunit gamma
BHOONDMH_00009	CDS	276				hypothetical protein
BHOONDMH_00010	CDS	2109	prdA_3	1.21.4.1		D-proline reductase proprotein PrdA
BHOONDMH_00011	CDS	1119	rnfC_1	7.2.1.2	COG4656	Na(+)-translocating ferredoxin:NAD(+) oxidoreductase complex subunit C
BHOONDMH_00012	CDS	663				hypothetical protein
BHOONDMH_00013	CDS	1305	rsxC_1	7.-.-.-		Ion-translocating oxidoreductase complex subunit C
BHOONDMH_00014	CDS	528				hypothetical protein
BHOONDMH_00015	CDS	480				hypothetical protein
BHOONDMH_00016	CDS	129				hypothetical protein
BHOONDMH_00017	CDS	429	prdA_4	1.21.4.1		D-proline reductase proprotein PrdA
BHOONDMH_00018	CDS	1311	rsxC_2	7.-.-.-		Ion-translocating oxidoreductase complex subunit C
BHOONDMH_00019	CDS	1755	norR_1			Anaerobic nitric oxide reductase transcription regulator NorR
BHOONDMH_00020	CDS	1230	tmcAL	6.3.4.-	COG1323	tRNA(Met) cytidine acetate ligase
BHOONDMH_00021	CDS	1167	ylbJ		COG3314	Sporulation integral membrane protein YlbJ
BHOONDMH_00022	CDS	525				hypothetical protein
BHOONDMH_00023	CDS	495	coaD	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
BHOONDMH_00024	CDS	558				hypothetical protein
BHOONDMH_00025	CDS	2040	recG	3.6.4.12		ATP-dependent DNA helicase RecG
BHOONDMH_00026	CDS	1626				putative protein
BHOONDMH_00027	CDS	351				putative protein
BHOONDMH_00028	CDS	192	rpmB		COG0227	50S ribosomal protein L28
BHOONDMH_00029	CDS	156				hypothetical protein
BHOONDMH_00030	CDS	645	thiN	2.7.6.2	COG1564	Thiamine pyrophosphokinase
BHOONDMH_00031	CDS	651	rpe	5.1.3.1		Ribulose-phosphate 3-epimerase
BHOONDMH_00032	CDS	879	rsgA	3.6.1.-	COG1162	Small ribosomal subunit biogenesis GTPase RsgA
BHOONDMH_00033	CDS	1944	prkC	2.7.11.1	COG0515	Serine/threonine-protein kinase PrkC
BHOONDMH_00034	CDS	750	prpC	3.1.3.16	COG0631	Protein phosphatase PrpC
BHOONDMH_00035	CDS	1029	rlmN	2.1.1.192		putative dual-specificity RNA methyltransferase RlmN
BHOONDMH_00036	CDS	1329	rsmB	2.1.1.176	COG0144	Ribosomal RNA small subunit methyltransferase B
BHOONDMH_00037	CDS	717				hypothetical protein
BHOONDMH_00038	CDS	942	fmt_1	2.1.2.9	COG0223	Methionyl-tRNA formyltransferase
BHOONDMH_00039	CDS	444	def1	3.5.1.88		Peptide deformylase 1
BHOONDMH_00040	CDS	2208	priA	3.6.4.-	COG1198	Primosomal protein N'
BHOONDMH_00041	CDS	1188	coaBC		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
BHOONDMH_00042	CDS	219	rpoZ	2.7.7.6		DNA-directed RNA polymerase subunit omega
BHOONDMH_00043	CDS	630	gmk_1	2.7.4.8	COG0194	Guanylate kinase
BHOONDMH_00044	CDS	276	remA		COG2052	Extracellular matrix regulatory protein A
BHOONDMH_00045	CDS	879				hypothetical protein
BHOONDMH_00046	CDS	1002	ansA	3.5.1.1	COG0252	L-asparaginase
BHOONDMH_00047	CDS	1482	spoIVA	3.6.1.3		Stage IV sporulation protein A
BHOONDMH_00048	CDS	1077				hypothetical protein
BHOONDMH_00049	CDS	999	gpsA	1.1.1.94		Glycerol-3-phosphate dehydrogenase [NAD(P)+]
BHOONDMH_00050	CDS	1320	der		COG1160	GTPase Der
BHOONDMH_00051	CDS	1335				hypothetical protein
