geneNames	transcriptNames	id	fc	pval	qval
narH	gene-PA3874	3974	5.08509783627537e+21	1.98820490271423e-05	0.101835855117023
.	gene-PA3015	3085	124.552253628904	0.000275953599705003	0.679774916172811
nirF	gene-PA0516	523	466415063957.129	0.000398150087567051	0.679774916172811
cysK	gene-PA2709	2765	569793.585781822	0.00126203115330492	0.950476455912088
.	gene-PA2655	2712	91.3905874960106	0.00140676621119251	0.950476455912088
.	gene-PA2178	2224	1.80228191166682e-16	0.00156161963638435	0.950476455912088
murG	gene-PA4412	4535	621.9805144949	0.00186650335698135	0.950476455912088
.	gene-PA2439	2494	50463284371353.4	0.00186658971693721	0.950476455912088
.	gene-PA2220	2267	115787.161202924	0.00194335333883344	0.950476455912088
.	gene-PA4917	5074	1250396322.40474	0.00207621930077617	0.950476455912088
cafA	gene-PA4477	4602	285.157738965922	0.00215411640196317	0.950476455912088
.	gene-PA1138	1166	3.5894717067035	0.00244311500016359	0.950476455912088
rhlR	gene-PA3477	3573	6923.8128836608	0.0024817506810868	0.950476455912088
.	gene-PA2772	2833	0.0730273604285799	0.00259794423716697	0.950476455912088
.	gene-PA2286	2332	8.30840965190597e-05	0.00365946045676879	0.999982160474241
nosZ	gene-PA3392	3479	36952210846231424	0.00414874550891908	0.999982160474241
.	gene-PA4435	4559	19015475845.6076	0.00434534450510227	0.999982160474241
.	gene-PA0738	754	6.09645470654198e-17	0.0046145802823212	0.999982160474241
.	gene-PA0907	929	0.000395471463222649	0.004684476691175	0.999982160474241
.	gene-PA2737	2791	1147.12657798851	0.00487800126497384	0.999982160474241
.	gene-PA3880	3980	20327780789.0378	0.00492819459484695	0.999982160474241
.	gene-PA4797	4954	0.00854912620964357	0.00505637557500549	0.999982160474241
.	gene-PA1572	1606	663.774171642868	0.00526432089391471	0.999982160474241
.	gene-PA1937	1981	7371164.04948416	0.00555566824647435	0.999982160474241
.	gene-PA4514	4639	0.000196682135859322	0.00566660894840687	0.999982160474241
.	gene-PA0404	410	181.082406914956	0.00614773843897076	0.999982160474241
moaA1	gene-PA3870	3970	6910777957289055	0.00649235330000475	0.999982160474241
.	gene-PA1251	1279	0.0024569631420146	0.00703002169663303	0.999982160474241
.	gene-PA4657	4795	477.99477089757	0.00719180073582271	0.999982160474241
xcpW	gene-PA3098	3174	4.08835879877179e-05	0.00834318842188941	0.999982160474241
.	gene-PA3465	3561	663681100.023323	0.00846228725990894	0.999982160474241
pmtA	gene-PA0798	814	0.0006149720507996	0.00865079830241089	0.999982160474241
dnr	gene-PA0527	534	20045596277.8658	0.00883441547987074	0.999982160474241
.	gene-PA1255	1283	0.156445495319387	0.00883845614673295	0.999982160474241
.	gene-PA1742	1778	640.94664906169	0.00889161446319731	0.999982160474241
.	gene-PA2607	2664	23.6264663720785	0.00915853716803661	0.999982160474241
.	rna-PA3139.1	3222	6972643490.35979	0.00957569627756261	0.999982160474241
.	gene-PA0060	62	0.0131779511466401	0.00961250765204813	0.999982160474241
upp	gene-PA4646	4784	0.00031486751532396	0.00989113904839267	0.999982160474241
narL	gene-PA3879	3979	346007960487.926	0.0102137568842922	0.999982160474241
.	gene-PA2048	2092	776.218172781486	0.0103992995042095	0.999982160474241
.	gene-PA3925	4027	0.0127541878765167	0.0108104916286571	0.999982160474241
.	gene-PA2636	2693	3090013224433895	0.0109857622314578	0.999982160474241
.	gene-PA5529	5701	6085.22330484994	0.0110975625098905	0.999982160474241
.	gene-PA2989	3059	24.6817330355364	0.0116071828403982	0.999982160474241
.	gene-PA3403a	3491	5774949006.97951	0.0117574301622347	0.999982160474241
.	gene-PA4606	4736	0.000632436111691112	0.0118125122785528	0.999982160474241
.	gene-PA0386	392	148.125951515439	0.0119403746127376	0.999982160474241
.	gene-PA2884	2951	32.2913863732532	0.0121861723542944	0.999982160474241
.	gene-PA4862	5020	12689603607238823936	0.0124343751622171	0.999982160474241
.	gene-PA3868	3968	4.84836712561468e-18	0.0128072695636856	0.999982160474241
cspD	gene-PA2622	2679	810.005830427606	0.0131255222455335	0.999982160474241
acoB	gene-PA4151	4255	761718551884850	0.0132155813112782	0.999982160474241
.	gene-PA0310	315	144.11720413375	0.0138997312999909	0.999982160474241
.	gene-PA0941	964	1259639499.8406	0.0143464576163047	0.999982160474241
nosL	gene-PA3396	3483	93392542860.1964	0.0151262542312767	0.999982160474241
.	gene-PA2829	2895	0.200243587963294	0.0161190737817626	0.999982160474241
.	gene-PA5283	5449	27794.0575385218	0.0164009903413829	0.999982160474241
.	gene-PA1779	1815	0.134783199143174	0.0166381365298051	0.999982160474241
arcC	gene-PA5173	5335	2449994061.97867	0.0169372902246603	0.999982160474241
cysI	gene-PA1838	1882	13.7219890892948	0.0169513710246765	0.999982160474241
aprD	gene-PA1246	1274	5.07868790737487e-05	0.0169591949873883	0.999982160474241
.	gene-PA0358	364	0.00738968201257426	0.0174440500809311	0.999982160474241
.	gene-PA5233	5398	9320.47344108973	0.0174791127620324	0.999982160474241
ispB	gene-PA4569	4698	0.00659898045558802	0.0177328891490685	0.999982160474241
.	gene-PA0422	428	3190.42206157449	0.0177913407697174	0.999982160474241
.	gene-PA2479	2531	0.000531330752094369	0.0180839888216087	0.999982160474241
.	gene-PA2215	2262	105088726793536	0.0181908154198891	0.999982160474241
.	gene-PA0444	450	0.00508991334255389	0.0188205300129707	0.999982160474241
.	gene-PA0559	567	1.03544711307773e-08	0.0190128643759599	0.999982160474241
.	gene-PA4154	4258	0.0405840454438696	0.0194152064684704	0.999982160474241
fdx1	gene-PA0362	368	8.32016629255485	0.0195313173518046	0.999982160474241
.	gene-PA0847	864	3.37270502551843	0.019828652060333	0.999982160474241
modC	gene-PA1861	1906	60301.2712376683	0.0198827266745024	0.999982160474241
.	gene-PA3788	3887	0.00226860969879598	0.0200102586132529	0.999982160474241
.	gene-PA4767	4924	3.62561446547874e-08	0.0200903486476585	0.999982160474241
.	gene-PA1290	1318	429.572783599485	0.0201977533422811	0.999982160474241
vreR	gene-PA0676	689	17431870191043.8	0.0203592092936533	0.999982160474241
.	gene-PA0522	529	6.90279067483016e-18	0.0203747980491271	0.999982160474241
pslL	gene-PA2242	2289	5.67050074731572	0.0209191734725327	0.999982160474241
.	gene-PA2296	2343	7.5687447753378e-17	0.0209435667901637	0.999982160474241
fruR	gene-PA3563	3658	6323.95904470335	0.0211748574906518	0.999982160474241
.	gene-PA2189	2234	7.92702881617506e-19	0.0214420069562189	0.999982160474241
bfrA	gene-PA4235	4340	3944927.59256624	0.0214824498566628	0.999982160474241
sdsA1	gene-PA0740	756	2.17895808210775e-17	0.0216343936037668	0.999982160474241
.	gene-PA2826	2892	17418066140269816	0.021772828690011	0.999982160474241
.	rna-PA2775.1	2838	2.60776647000981e-05	0.0218207631707067	0.999982160474241
selB	gene-PA4807	4965	379.557403201854	0.0228357724003811	0.999982160474241
.	gene-PA0679	692	450293403098799	0.0238394311067148	0.999982160474241
.	gene-PA4611	4741	1900070765.09794	0.0239987465589797	0.999982160474241
.	gene-PA5442	5615	0.0114255536449964	0.0241629929145559	0.999982160474241
narI	gene-PA3872	3972	2.05295925277976e+21	0.0243204578905082	0.999982160474241
.	gene-PA1125	1153	0.00532274575437178	0.0243343855200269	0.999982160474241
gpuR	gene-PA0289	293	72914.6733393602	0.0248903362141959	0.999982160474241
.	gene-PA4064	4165	3848239.0317422	0.0249563498349352	0.999982160474241
nirJ	gene-PA0511	518	47534015348172.8	0.0256153362422045	0.999982160474241
.	gene-PA0234	238	15435717.0155195	0.0266126953753918	0.999982160474241
.	gene-PA2860	2927	0.0798714259908901	0.0270750557943229	0.999982160474241
.	gene-PA4365	4487	506305355994014	0.0271943312539126	0.999982160474241
azu	gene-PA4922	5079	2319467.21616313	0.0274337666610134	0.999982160474241
.	gene-PA0864	881	7.09987277503145e-05	0.0275925952882585	0.999982160474241
.	gene-PA4060	4161	0.000275240682295646	0.0281964652619058	0.999982160474241
.	gene-PA2684	2740	1.28122455464948	0.0282514117695244	0.999982160474241
.	gene-PA2706	2762	0.131477788012307	0.0284728825657281	0.999982160474241
.	gene-PA1069	1095	0.0194013398122591	0.0288299983697089	0.999982160474241
.	gene-PA2696	2752	0.00356194872622612	0.0292072966798038	0.999982160474241
soxR	gene-PA2273	2319	942725.805647197	0.0294074239778783	0.999982160474241
.	gene-PA0526	533	106012277.070616	0.0295004961484424	0.999982160474241
.	gene-PA1651	1687	122.504704908246	0.0295777817447956	0.999982160474241
.	gene-PA4716	4866	1024.95648059865	0.0303656085264554	0.999982160474241
.	gene-PA2569	2622	0.0742106996818397	0.0306237555749753	0.999982160474241
.	gene-PA2430	2485	81.5168098218992	0.0313714937895346	0.999982160474241
.	gene-PA5232	5397	5254037792116498	0.0323034341442054	0.999982160474241
.	gene-PA1872	1918	61306.1880256301	0.0327927529159929	0.999982160474241
fumC2	gene-PA0854	871	293300652018373	0.0330547778014599	0.999982160474241
.	gene-PA1733	1769	0.00134708405862262	0.0330979838637889	0.999982160474241
.	gene-PA2778	2841	0.0011675103763505	0.0333268870753232	0.999982160474241
.	gene-PA0360	366	2269.22975736743	0.0334413209481443	0.999982160474241
.	gene-PA4289	4406	8.06547171470605e-09	0.0336665961635927	0.999982160474241
.	gene-PA3067	3140	2386.58066428319	0.0343713816112055	0.999982160474241
.	gene-PA1764	1800	3.55683402629723e-15	0.0345369104367415	0.999982160474241
.	gene-PA5059	5220	34604.5579928066	0.0347497148067056	0.999982160474241
.	gene-PA1065	1091	32346.6676363605	0.0351084129646839	0.999982160474241
braZ	gene-PA1971	2015	1080.74311870904	0.0351218790388722	0.999982160474241
.	gene-PA4918	5075	427046873072.132	0.0353206913775722	0.999982160474241
pslN	gene-PA2244	2291	0.000175479615188464	0.0353472895208644	0.999982160474241
flhB	gene-PA1449	1478	0.00680856346219292	0.0353630479160157	0.999982160474241
nrdD	gene-PA1920	1966	1.91609772037223e+21	0.0355153578448493	0.999982160474241
.	gene-PA4841	4999	0.0014016116931801	0.035784075761124	0.999982160474241
.	gene-PA4351	4472	1391867099571.21	0.0358228743230502	0.999982160474241
.	gene-PA4177	4281	1.8180835489198e-17	0.0359805108456794	0.999982160474241
.	gene-PA1386	1415	18086.5339619282	0.0359955817970126	0.999982160474241
pcrG	gene-PA1705	1741	2874149409050.6	0.0366250973794877	0.999982160474241
.	gene-PA2183	2229	494373563714248	0.0368040991359528	0.999982160474241
.	gene-PA3765	3864	148445.011140382	0.038149159944872	0.999982160474241
.	gene-PA1185	1213	0.0129301024265594	0.0386161651621765	0.999982160474241
.	gene-PA1626	1661	0.00194016793079819	0.038708586515211	0.999982160474241
.	gene-PA4916	5073	1650697883.09005	0.0393517835757411	0.999982160474241
.	gene-PA3896	3997	306.450762626613	0.0396086583838579	0.999982160474241
.	gene-PA0439	445	1.05577467063996e-15	0.0400855078632478	0.999982160474241
.	gene-PA1347	1376	1.28382533809721e-16	0.0408569004137312	0.999982160474241
.	gene-PA0948	971	0.00014925642762013	0.0412850403372829	0.999982160474241
sigX	gene-PA1776	1812	7.94324706394886	0.0416068785004111	0.999982160474241
.	gene-PA2755a	2814	12.3584264273489	0.0416547464021949	0.999982160474241
.	gene-PA0704	718	1.17803667316502e-06	0.0416676313163629	0.999982160474241
.	gene-PA3787	3886	757.782528116461	0.0420641637288179	0.999982160474241
.	gene-PA4437	4561	9.20173476524759e-08	0.0425997771939159	0.999982160474241
.	gene-PA2459	2511	137.603965069778	0.0427332577554522	0.999982160474241
.	gene-PA4612	4742	7.37404955255714e+24	0.0427768279665699	0.999982160474241
uvrB	gene-PA3138	3220	7.40222541383813	0.0429105007001777	0.999982160474241
trmA	gene-PA4720	4870	104.294375530453	0.0430287844423374	0.999982160474241
ftsA	gene-PA4408	4531	0.156560184065094	0.0434785206433538	0.999982160474241
folP	gene-PA4750	4906	0.0773760691861172	0.0435729744795816	0.999982160474241
liuR	gene-PA2016	2061	402.846787720068	0.0436692927500304	0.999982160474241
.	gene-PA0574	582	70.9727791932588	0.0436862381476497	0.999982160474241
.	gene-PA2070	2114	10674907012682.4	0.043760643233524	0.999982160474241
.	gene-PA0203	207	504890620392350	0.0437886819919417	0.999982160474241
.	gene-PA4129	4232	0.000269930198211351	0.0441219968399023	0.999982160474241
atuB	gene-PA2887	2954	1.70126418561485e-05	0.0444571556768205	0.999982160474241
.	gene-PA2718	2774	6045.05134529074	0.0449861187781305	0.999982160474241
.	gene-PA1768	1804	0.0299182857307778	0.0454321458176945	0.999982160474241
.	rna-PA0729.1	744	283.710027003282	0.0458774721249646	0.999982160474241
.	gene-PA2867	2934	19215865.1221934	0.046460314238002	0.999982160474241
.	MSTRG.4144.1	5095	0.00103799287442777	0.0464678844639564	0.999982160474241
.	gene-PA1625	1660	0.00021266697770141	0.0465183531271844	0.999982160474241
.	gene-PA1840	1885	6633.33101451832	0.046936403518306	0.999982160474241
.	gene-PA1296	1324	0.000469166135720819	0.0471041290656899	0.999982160474241
pqsB	gene-PA0997	1020	4930629457142.38	0.0471158616273433	0.999982160474241
.	gene-PA3039	3110	236569840344921	0.0483813672649542	0.999982160474241
.	gene-PA1076	1102	15792852.038914	0.0487147620369104	0.999982160474241
snr1	gene-PA3032	3103	8.30739672476344e-19	0.048830904443385	0.999982160474241
.	gene-PA4508	4633	179.527910945061	0.0488941268132979	0.999982160474241
gcvT2	gene-PA2442	2497	0.0117561110282018	0.0492572447155986	0.999982160474241
stp1	gene-PA1670	1706	7.64150518126208e-06	0.0495867145706477	0.999982160474241
.	gene-PA5081	5242	0.000714182102383669	0.0499748869854815	0.999982160474241
